"Jahr","Datum","Index","Meta","Type","Content"
"2003",2003-05-01,"151.1",NA,NA,NA
"2003",2003-06-01,"151.1",NA,NA,NA
"2003",2003-07-01,"149.9",NA,NA,NA
"2003",2003-08-01,"150.2",NA,NA,NA
"2003",2003-09-01,"150.4",NA,NA,NA
"2003",2003-10-01,"151.2",NA,NA,NA
"2003",2003-11-01,"151",NA,NA,NA
"2003",2003-12-01,"151",NA,NA,NA
"2004",2004-01-01,"150.5",NA,NA,NA
"2004",2004-02-01,"150.6",NA,NA,NA
"2004",2004-03-01,"150.9",NA,NA,NA
"2004",2004-04-01,"152.1",NA,NA,NA
"2004",2004-05-01,"152.5",NA,NA,NA
"2004",2004-06-01,"152.8",NA,NA,NA
"2004",2004-07-01,"151.2",NA,NA,NA
"2004",2004-08-01,"151.7",NA,NA,NA
"2004",2004-09-01,"151.7",NA,NA,NA
"2004",2004-10-01,"153.2",NA,NA,NA
"2004",2004-11-01,"153.3",NA,NA,NA
"2004",2004-12-01,"153.1",NA,NA,NA
"2005",2005-01-01,"152.3",NA,NA,NA
"2005",2005-02-01,"152.7",NA,NA,NA
"2005",2005-03-01,"153.1",NA,NA,NA
"2005",2005-04-01,"154.3",NA,NA,NA
"2005",2005-05-01,"154.2",NA,NA,NA
"2005",2005-06-01,"153.8",NA,NA,NA
"2005",2005-07-01,"153",NA,NA,NA
"2005",2005-08-01,"153.2",NA,NA,NA
"2005",2005-09-01,"153.9",NA,NA,NA
"2005",2005-10-01,"155.2",NA,NA,NA
"2005",2005-11-01,"154.8",NA,NA,NA
"2005",2005-12-01,"154.6",NA,NA,NA
"2006",2006-01-01,"154.3",NA,NA,NA
"2006",2006-02-01,"154.8",NA,NA,NA
"2006",2006-03-01,"154.6",NA,NA,NA
"2006",2006-04-01,"155.9",NA,NA,NA
"2006",2006-05-01,"156.3",NA,NA,NA
"2006",2006-06-01,"156.2",NA,NA,NA
"2006",2006-07-01,"155.1",NA,NA,NA
"2006",2006-08-01,"155.4",NA,NA,NA
"2006",2006-09-01,"155.1",NA,NA,NA
"2006",2006-10-01,"155.6",NA,NA,NA
"2006",2006-11-01,"155.5",NA,NA,NA
"2006",2006-12-01,"155.6",NA,NA,NA
"2007",2007-01-01,"154.5",NA,NA,NA
"2007",2007-02-01,"154.8",NA,NA,NA
"2007",2007-03-01,"154.9",NA,NA,NA
"2007",2007-04-01,"156.6",NA,NA,NA
"2007",2007-05-01,"157",NA,NA,NA
"2007",2007-06-01,"157.2",NA,NA,NA
"2007",2007-07-01,"156.3",NA,NA,NA
"2007",2007-08-01,"156.1",NA,NA,NA
"2007",2007-09-01,"156.2",NA,NA,NA
"2007",2007-10-01,"157.6",NA,NA,NA
"2007",2007-11-01,"158.3",NA,NA,NA
"2007",2007-12-01,"158.7",NA,NA,NA
"2008",2008-01-01,"158.2",NA,NA,NA
"2008",2008-02-01,"158.4",NA,NA,NA
"2008",2008-03-01,"159",NA,NA,NA
"2008",2008-04-01,"160.2",NA,NA,NA
"2008",2008-05-01,"161.5",NA,NA,NA
"2008",2008-06-01,"161.8",NA,NA,NA
"2008",2008-07-01,"161.1",NA,NA,NA
"2008",2008-08-01,"160.6",NA,NA,NA
"2008",2008-09-01,"160.8",NA,NA,NA
"2008",2008-10-01,"161.7",NA,NA,NA
"2008",2008-11-01,"160.6",NA,NA,NA
"2008",2008-12-01,"159.8",NA,NA,NA
"2009",2009-01-01,"158.4",NA,NA,NA
"2009",2009-02-01,"158.8",NA,NA,NA
"2009",2009-03-01,"158.3",NA,NA,NA
"2009",2009-04-01,"159.7",NA,NA,NA
"2009",2009-05-01,"159.9",NA,NA,NA
"2009",2009-06-01,"160.2",NA,NA,NA
"2009",2009-07-01,"159.2",NA,NA,NA
"2009",2009-08-01,"159.3",NA,NA,NA
"2009",2009-09-01,"159.3",NA,NA,NA
"2009",2009-10-01,"160.3",NA,NA,NA
"2009",2009-11-01,"160.6",NA,NA,NA
"2009",2009-12-01,"160.2",NA,NA,NA
"2010",2010-01-01,"160.1",NA,NA,NA
"2010",2010-02-01,"160.3",NA,NA,NA
"2010",2010-03-01,"160.5",NA,NA,NA
"2010",2010-04-01,"161.9",NA,NA,NA
"2010",2010-05-01,"161.7",NA,NA,NA
"2010",2010-06-01,"161",NA,NA,NA
"2010",2010-07-01,"159.8",NA,NA,NA
"2010",2010-08-01,"159.8",NA,NA,NA
"2010",2010-09-01,"159.8",NA,NA,NA
"2010",2010-10-01,"160.6",NA,NA,NA
"2010",2010-11-01,"161",NA,NA,NA
"2010",2010-12-01,"161.1",NA,NA,NA
"2011",2011-01-01,"160.5",NA,NA,NA
"2011",2011-02-01,"161.1",NA,NA,NA
"2011",2011-03-01,"162.1",NA,NA,NA
"2011",2011-04-01,"162.3",NA,NA,NA
"2011",2011-05-01,"162.3",NA,NA,NA
"2011",2011-06-01,"161.9",NA,NA,NA
"2011",2011-07-01,"160.6",NA,NA,NA
"2011",2011-08-01,"160.1",NA,NA,NA
"2011",2011-09-01,"160.6",NA,NA,NA
"2011",2011-10-01,"160.4",NA,NA,NA
"2011",2011-11-01,"160.2",NA,NA,NA
"2011",2011-12-01,"159.9",NA,NA,NA
"2012",2012-01-01,"159.2",NA,NA,NA
"2012",2012-02-01,"159.7",NA,NA,NA
"2012",2012-03-01,"160.6",NA,NA,NA
"2012",2012-04-01,"160.7",NA,NA,NA
"2012",2012-05-01,"160.7",NA,NA,NA
"2012",2012-06-01,"160.2",NA,NA,NA
"2012",2012-07-01,"159.4",NA,NA,NA
"2012",2012-08-01,"159.4",NA,NA,NA
"2012",2012-09-01,"159.9",NA,NA,NA
"2012",2012-10-01,"160.1",NA,NA,NA
"2012",2012-11-01,"159.6",NA,NA,NA
"2012",2012-12-01,"159.2",NA,NA,NA
"2013",2013-01-01,"158.8",NA,NA,NA
"2013",2013-02-01,"159.3",NA,NA,NA
"2013",2013-03-01,"159.6",NA,NA,NA
"2013",2013-04-01,"159.7",NA,NA,NA
"2013",2013-05-01,"159.9",NA,NA,NA
"2013",2013-06-01,"160",NA,NA,NA
"2013",2013-07-01,"159.4",NA,NA,NA
"2013",2013-08-01,"159.3",NA,NA,NA
