"Woche","Altersklasse","Anzahl Fälle","Meta","Type","Content"
2021-02-01,"40 - 49 Jahre","0",NA,NA,NA
2021-02-01,"50 - 59 Jahre","0",NA,NA,NA
2021-02-01,"60 - 69 Jahre","0",NA,NA,NA
2021-02-01,"70 - 79 Jahre","1",NA,NA,NA
2021-02-01,"80+ Jahre","3",NA,NA,NA
2021-02-08,"0 - 9 Jahre","0",NA,NA,NA
2021-02-08,"10 - 19 Jahre","0",NA,NA,NA
2021-02-08,"20 - 29 Jahre","0",NA,NA,NA
2021-02-08,"30 - 39 Jahre","0",NA,NA,NA
2021-02-08,"40 - 49 Jahre","0",NA,NA,NA
2021-02-08,"50 - 59 Jahre","0",NA,NA,NA
2021-02-08,"60 - 69 Jahre","0",NA,NA,NA
2021-02-08,"70 - 79 Jahre","0",NA,NA,NA
2021-02-08,"80+ Jahre","0",NA,NA,NA
2021-02-15,"0 - 9 Jahre","0",NA,NA,NA
2021-02-15,"10 - 19 Jahre","0",NA,NA,NA
2021-02-15,"20 - 29 Jahre","0",NA,NA,NA
2021-02-15,"30 - 39 Jahre","0",NA,NA,NA
2021-02-15,"40 - 49 Jahre","0",NA,NA,NA
2021-02-15,"50 - 59 Jahre","0",NA,NA,NA
2021-02-15,"60 - 69 Jahre","0",NA,NA,NA
2021-02-15,"70 - 79 Jahre","0",NA,NA,NA
2021-02-15,"80+ Jahre","0",NA,NA,NA
2021-02-22,"0 - 9 Jahre","0",NA,NA,NA
2021-02-22,"10 - 19 Jahre","0",NA,NA,NA
2021-02-22,"20 - 29 Jahre","0",NA,NA,NA
2021-02-22,"30 - 39 Jahre","0",NA,NA,NA
2021-02-22,"40 - 49 Jahre","0",NA,NA,NA
2021-02-22,"50 - 59 Jahre","0",NA,NA,NA
2021-02-22,"60 - 69 Jahre","0",NA,NA,NA
2021-02-22,"70 - 79 Jahre","0",NA,NA,NA
2021-02-22,"80+ Jahre","1",NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,integer"
NA,NA,NA,"1","title","Todesfälle aufgrund von COVID-19 nach Alterskategorien im Zeitverlauf"
NA,NA,NA,"1","subtitle","Datenstand: 08.03.2021"
NA,NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,NA,"1","source","Kanton Zug, Amt für Gesundheit"
